AT42QT1070-MMHR

Pin,Type,Name,Side
1,input,KEY4,right
2,input,KEY3,right
3,input,KEY2,right
4,input,KEY1,right
5,input,KEY0,right
6,nc,NC,bottom
7,nc,NC,bottom
8,gnd,VSS,left
9,pwr,VDD,left
10,nc,NC,bottom
11,input,MODE,left
12,output,OUT0,right
13,input,NRST,left
14,output,OUT4,right
15,output,OUT3,right
16,output,OUT2,right
17,output,OUT1,right
18,nc,NC,bottom
19,nc,NC,bottom
20,nc,NC,bottom
