WM1389CT-ND

Pin,Type,Name,Side
1,input,SCLK,right
2,input,SI,right
3,input,SCS,right
4,input,EXTCOMIN,right
5,input,DISP,right
6,pwr,VDDA,left
7,pwr,VDD,left
8,input,EXTMODE,right
9,gnd,VSS,left
10,gnd,VSSA,left
